20100107074142S:A1500,0015,  00001297,1, 0,00
20100107074142R:I1503,0 15,0101, 0, 0, 0, 0
20100107074153S:A1500,0015,  00000195,1, 0,00
20100107074211S:A1500,0015,  00000165,1, 0,00
20100107074211R:A1501,0 15,  00001297,0, 0
20100107074211R:A1510,0 15,  00001297, 1, 0, 0, 0
20100107074221R:A1510,0 15,  00001297, 9, 0, 0, 0
20100107074225R:A1503,0 15,  00001297, 0, 0
20100107074225S:A1503,0015,  00001297,01,00
20100107074233S:A1500,0015,  00000063,1, 0,00
20100107074234R:A1501,0 15,  00000195,0, 0
20100107074234R:A1510,0 15,  00000195, 1, 0, 1, 0
20100107074243R:A1510,0 15,  00000195, 9, 0, 1, 0
20100107074245R:U1500,0 15,  00001297, 0
20100107074245S:U1500,0 15,  00001297,00
20100107074254R:A1504,0 15,  00001297, 0, 0
20100107074254R:A1503,0 15,  00000195, 0, 0
20100107074255S:A1503,0015,  00000195,01,00
20100107074301R:U1500,0 15,  00000195, 0
20100107074301S:U1500,0 15,  00000195,00
20100107074302S:A1500,0015,  00001292,1, 0,00
20100107074328R:A1504,0 15,  00000195, 0, 0
20100107074340R:A1501,0 15,  00000165,0, 0
20100107074340R:A1510,0 15,  00000165, 1, 0, 0, 0
20100107074349R:A1510,0 15,  00000165, 9, 0, 0, 0
20100107074353R:A1503,0 15,  00000165, 0, 0
20100107074354S:A1503,0015,  00000165,01,00
20100107074401S:A1500,0015,  00001177,1, 0,00
20100107074402R:A1501,0 15,  00000063,0, 0
20100107074402R:A1510,0 15,  00000063, 1, 0, 1, 0
20100107074411R:A1510,0 15,  00000063, 9, 0, 1, 0
20100107074413R:U1500,0 15,  00000165, 0
20100107074413S:U1500,0 15,  00000165,00
20100107074423R:A1504,0 15,  00000165, 0, 0
20100107074423R:A1503,0 15,  00000063, 0, 0
20100107074424S:A1503,0015,  00000063,01,00
20100107074425S:A1500,0015,  00000107,1, 0,00
20100107074429R:U1500,0 15,  00000063, 0
20100107074429S:U1500,0 15,  00000063,00
20100107074456R:A1504,0 15,  00000063, 0, 0
20100107074508R:A1501,0 15,  00001292,0, 0
20100107074508R:A1510,0 15,  00001292, 1, 0, 0, 0
20100107074517R:A1510,0 15,  00001292, 9, 0, 0, 0
20100107074522R:A1503,0 15,  00001292, 0, 0
20100107074522S:A1503,0015,  00001292,01,00
20100107074529S:A1500,0015,  00001153,1, 0,00
20100107074530R:A1501,0 15,  00001177,0, 0
