20091210074222S:A1500,0015,  00001043,1, 0,00
20091210074222R:I1503,0 15,0101, 0, 0, 0, 0
20091210074233S:A1500,0015,  00001007,1, 0,00
20091210074250S:A1500,0015,  00001111,1, 0,00
20091210074251R:A1501,0 15,  00001043,0, 0
20091210074251R:A1510,0 15,  00001043, 1, 0, 0, 0
20091210074300R:A1510,0 15,  00001043, 9, 0, 0, 0
20091210074304R:A1503,0 15,  00001043, 0, 0
20091210074305S:A1503,0015,  00001043,01,00
20091210074312S:A1500,0015,  00001119,1, 0,00
20091210074313R:A1501,0 15,  00001007,0, 0
20091210074313R:A1510,0 15,  00001007, 1, 0, 1, 0
20091210074322R:A1510,0 15,  00001007, 9, 0, 1, 0
20091210074324R:U1500,0 15,  00001043, 0
20091210074324S:U1500,0 15,  00001043,00
20091210074334R:A1504,0 15,  00001043, 0, 0
20091210074334R:A1503,0 15,  00001007, 0, 0
20091210074335S:A1503,0015,  00001007,01,00
20091210074335S:A1500,0015,  00000121,1, 0,00
20091210074340R:U1500,0 15,  00001007, 0
20091210074340S:U1500,0 15,  00001007,00
20091210074413R:A1504,0 15,  00001007, 0, 0
20091210074426R:A1501,0 15,  00001111,0, 0
20091210074426R:A1510,0 15,  00001111, 1, 0, 0, 0
20091210074435R:A1510,0 15,  00001111, 9, 0, 0, 0
20091210074439R:A1503,0 15,  00001111, 0, 0
20091210074440S:A1503,0015,  00001111,01,00
20091210074447S:A1500,0015,  00000103,1, 0,00
20091210074448R:A1501,0 15,  00001119,0, 0
20091210074448R:A1510,0 15,  00001119, 1, 0, 1, 0
20091210074457R:A1510,0 15,  00001119, 9, 0, 1, 0
20091210074459R:U1500,0 15,  00001111, 0
20091210074459S:U1500,0 15,  00001111,00
20091210074508R:A1504,0 15,  00001111, 0, 0
20091210074509R:A1503,0 15,  00001119, 0, 0
20091210074509S:A1503,0015,  00001119,01,00
20091210074510S:A1500,0015,  00000034,1, 0,00
20091210074515R:U1500,0 15,  00001119, 0
20091210074515S:U1500,0 15,  00001119,00
20091210074548R:A1504,0 15,  00001119, 0, 0
20091210074600R:A1501,0 15,  00000121,0, 0
20091210074600R:A1510,0 15,  00000121, 1, 0, 0, 0
20091210074609R:A1510,0 15,  00000121, 9, 0, 0, 0
20091210074614R:A1503,0 15,  00000121, 0, 0
20091210074614S:A1503,0015,  00000121,01,00
20091210074622R:A1501,0 15,  00000103,0, 0
20091210074623R:A1510,0 15,  00000103, 1, 0, 1, 0
20091210074631R:A1510,0 15,  00000103, 9, 0, 1, 0
20091210074634R:U1500,0 15,  00000121, 0
20091210074634S:U1500,0 15,  00000121,00
20091210074637S:A1500,0015,  00001001,1, 0,00
20091210074643R:A1504,0 15,  00000121, 0, 0
20091210074643R:A1503,0 15,  00000103, 0, 0
20091210074644S:A1503,0015,  00000103,01,00
20091210074648S:A1500,0015,  00000097,1, 0,00
20091210074649R:U1500,0 15,  00000103, 0
20091210074649S:U1500,0 15,  00000103,00
20091210074722R:A1504,0 15,  00000103, 0, 0
20091210074734R:A1501,0 15,  00000034,0, 0
20091210074734R:A1510,0 15,  00000034, 1, 0, 0, 0
20091210074744R:A1510,0 15,  00000034, 9, 0, 0, 0
20091210074748R:A1503,0 15,  00000034, 0, 0
20091210074749S:A1503,0015,  00000034,01,00
20091210074757S:A1500,0015,  00001221,1, 0,00
20091210074757R:A1501,0 15,  00001001,0, 0
20091210074757R:A1510,0 15,  00001001, 1, 0, 1, 0
20091210074806R:A1510,0 15,  00001001, 9, 0, 1, 0
20091210074808R:U1500,0 15,  00000034, 0
20091210074808S:U1500,0 15,  00000034,00
20091210074817R:A1504,0 15,  00000034, 0, 0
20091210074817R:A1503,0 15,  00001001, 0, 0
20091210074818S:A1503,0015,  00001001,01,00
20091210074819S:A1500,0015,  00001296,1, 0,00
20091210074824R:U1500,0 15,  00001001, 0
20091210074824S:U1500,0 15,  00001001,00
20091210074850R:A1504,0 15,  00001001, 0, 0
20091210074903R:A1501,0 15,  00000097,0, 0
20091210074903R:A1510,0 15,  00000097, 1, 0, 0, 0
20091210074912R:A1510,0 15,  00000097, 9, 0, 0, 0
20091210074916R:A1503,0 15,  00000097, 0, 0
20091210074917S:A1503,0015,  00000097,01,00
20091210074925R:A1501,0 15,  00001221,0, 0
20091210074925R:A1510,0 15,  00001221, 1, 0, 1, 0
20091210074934R:A1510,0 15,  00001221, 9, 0, 1, 0
20091210074936R:U1500,0 15,  00000097, 0
20091210074936S:U1500,0 15,  00000097,00
20091210074945S:A1500,0015,  00001298,1, 0,00
20091210074945R:A1504,0 15,  00000097, 0, 0
20091210074945R:A1503,0 15,  00001221, 0, 0
20091210074946S:A1503,0015,  00001221,01,00
20091210074952R:U1500,0 15,  00001221, 0
20091210074952S:U1500,0 15,  00001221,00
20091210074959S:A1500,0015,  00000036,1, 0,00
20091210075017S:A1500,0015,  00001198,1, 0,00
20091210075025R:A1504,0 15,  00001221, 0, 0
20091210075029S:A1500,0015,  00001029,1, 0,00
20091210075037R:A1501,0 15,  00001296,0, 0
20091210075037R:A1510,0 15,  00001296, 1, 0, 0, 0
20091210075046S:A1500,0015,  00001153,1, 0,00
20091210075046R:A1510,0 15,  00001296, 9, 0, 0, 0
20091210075050R:A1503,0 15,  00001296, 0, 0
20091210075051S:A1503,0015,  00001296,01,00
20091210075057R:U1500,0 15,  00001296, 0
20091210075057S:U1500,0 15,  00001296,00
20091210075104R:A1504,0 15,  00001296, 0, 0
20091210075531S:A1500,0015,  00000129,1, 0,00
20091210075542S:A1500,0015,  00001031,1, 0,00
20091210075559S:A1500,0015,  00000106,1, 0,00
20091210075611S:A1500,0015,  00001136,1, 0,00
20091210075637S:A1500,0015,  00000086,1, 0,00
20091210075647S:A1500,0015,  00001192,1, 0,00
20091210075704S:A1500,0015,  00000125,1, 0,00
20091210075718S:A1500,0015,  00000188,1, 0,00
20091210075847S:A1500,0015,  00001041,1, 0,00
20091210080102S:A1500,0015,  00000154,1, 0,00
20091210080113S:A1500,0015,  00000172,1, 0,00
20091210080131S:A1500,0015,  00000186,1, 0,00
20091210080157S:A1500,0015,  00001027,1, 0,00
20091210080212R:A1501,0 15,  00001153,0, 0
20091210080212R:A1510,0 15,  00001153, 1, 0, 0, 0
20091210080220S:A1500,0015,  00000111,1, 0,00
20091210080221R:A1510,0 15,  00001153, 9, 0, 0, 0
20091210080225R:A1503,0 15,  00001153, 0, 0
20091210080226S:A1503,0015,  00001153,01,00
20091210080231R:U1500,0 15,  00001153, 0
20091210080231S:U1500,0 15,  00001153,00
20091210080234R:A1504,0 15,  00001153, 0, 0
20091210080254S:A1500,0015,  00001148,1, 0,00
20091210080315S:A1500,0015,  00000138,1, 0,00
20091210080353R:A1501,0 15,  00001298,0, 0
20091210080353R:A1510,0 15,  00001298, 1, 0, 0, 0
20091210080402R:A1510,0 15,  00001298, 9, 0, 0, 0
20091210080407R:A1503,0 15,  00001298, 0, 0
20091210080407S:A1503,0015,  00001298,01,00
20091210080414R:A1501,0 15,  00000036,0, 0
20091210080414R:A1510,0 15,  00000036, 1, 0, 1, 0
20091210080423R:A1510,0 15,  00000036, 9, 0, 1, 0
20091210080425R:U1500,0 15,  00001298, 0
20091210080425S:U1500,0 15,  00001298,00
20091210080434R:A1504,0 15,  00001298, 0, 0
20091210080434R:A1503,0 15,  00000036, 0, 0
20091210080435S:A1503,0015,  00000036,01,00
20091210080446R:A1501,0 15,  00001198,0, 0
20091210080446R:A1510,0 15,  00001198, 1, 0, 1, 0
20091210080452R:U1500,0 15,  00000036, 0
20091210080452S:U1500,0 15,  00000036,00
20091210080455R:A1510,0 15,  00001198, 9, 0, 0, 0
20091210080514R:A1504,0 15,  00000036, 0, 0
20091210080514R:A1503,0 15,  00001198, 0, 0
20091210080515S:A1503,0015,  00001198,01,00
20091210080526R:A1501,0 15,  00001029,0, 0
20091210080526R:A1510,0 15,  00001029, 1, 0, 1, 0
20091210080532R:U1500,0 15,  00001198, 0
20091210080532S:U1500,0 15,  00001198,00
20091210080535R:A1510,0 15,  00001029, 9, 0, 0, 0
20091210080554R:A1504,0 15,  00001198, 0, 0
20091210080554R:A1503,0 15,  00001029, 0, 0
20091210080555S:A1503,0015,  00001029,01,00
20091210080601R:U1500,0 15,  00001029, 0
20091210080601S:A1500,0015,  00001103,1, 0,00
20091210080601S:U1500,0 15,  00001029,00
20091210080634R:A1504,0 15,  00001029, 0, 0
20091210080700S:A1500,0015,  00001286,1, 0,00
20091210080744S:A1500,0015,  00001260,1, 0,00
20091210080755S:A1500,0015,  00000140,1, 0,00
20091210081013R:A1501,0 15,  00000129,0, 0
20091210081013R:A1510,0 15,  00000129, 1, 0, 0, 0
20091210081022R:A1510,0 15,  00000129, 9, 0, 0, 0
20091210081026R:A1503,0 15,  00000129, 0, 0
20091210081027S:A1503,0015,  00000129,01,00
20091210081029R:A1501,0 15,  00000106,0, 0
20091210081029R:A1510,0 15,  00000106, 1, 0, 1, 0
20091210081038R:A1510,0 15,  00000106, 9, 0, 1, 0
20091210081040R:U1500,0 15,  00000129, 0
20091210081040S:U1500,0 15,  00000129,00
20091210081049R:A1504,0 15,  00000129, 0, 0
20091210081049R:A1503,0 15,  00000106, 0, 0
20091210081050S:A1503,0015,  00000106,01,00
20091210081101R:A1501,0 15,  00000086,0, 0
20091210081101R:A1510,0 15,  00000086, 1, 0, 1, 0
20091210081106R:U1500,0 15,  00000106, 0
20091210081106S:U1500,0 15,  00000106,00
20091210081110R:A1510,0 15,  00000086, 9, 0, 0, 0
20091210081129R:A1504,0 15,  00000106, 0, 0
20091210081129R:A1503,0 15,  00000086, 0, 0
20091210081130S:A1503,0015,  00000086,01,00
20091210081136R:U1500,0 15,  00000086, 0
20091210081136S:U1500,0 15,  00000086,00
20091210081209R:A1504,0 15,  00000086, 0, 0
20091210081217S:A1500,0015,  00000167,1, 0,00
20091210081228R:A1501,0 15,  00000125,0, 0
20091210081228R:A1510,0 15,  00000125, 1, 0, 0, 0
20091210081237R:A1510,0 15,  00000125, 9, 0, 0, 0
20091210081242R:A1503,0 15,  00000125, 0, 0
20091210081242S:A1503,0015,  00000125,01,00
20091210081248R:U1500,0 15,  00000125, 0
20091210081248S:U1500,0 15,  00000125,00
20091210081250R:A1504,0 15,  00000125, 0, 0
20091210081258S:A1500,0015,  00000116,1, 0,00
20091210081345S:A1500,0015,  00001251,1, 0,00
20091210081357S:A1500,0015,  00001177,1, 0,00
20091210081457R:A1501,0 15,  00001031,0, 0
20091210081458R:A1510,0 15,  00001031, 1, 0, 0, 0
20091210081507R:A1510,0 15,  00001031, 9, 0, 0, 0
20091210081511R:A1503,0 15,  00001031, 0, 0
20091210081512S:A1503,0015,  00001031,01,00
20091210081518R:A1501,0 15,  00001136,0, 0
20091210081519R:A1510,0 15,  00001136, 1, 0, 1, 0
20091210081528R:A1510,0 15,  00001136, 9, 0, 1, 0
20091210081529R:U1500,0 15,  00001031, 0
20091210081530S:U1500,0 15,  00001031,00
