20100116080503S:A1500,0015,  00001019,1, 0,00
20100116080503R:I1503,0 15,0101, 0, 0, 0, 0
20100116080515S:A1500,0015,  00000197,1, 0,00
20100116080532S:A1500,0015,  00000195,1, 0,00
20100116080532R:A1501,0 15,  00001019,0, 0
20100116080532R:A1510,0 15,  00001019, 1, 0, 0, 0
20100116080541R:A1510,0 15,  00001019, 9, 0, 0, 0
20100116080546R:A1503,0 15,  00001019, 0, 0
20100116080546S:A1503,0015,  00001019,01,00
20100116080554R:A1501,0 15,  00000197,0, 0
20100116080554S:A1500,0015,  00001029,1, 0,00
20100116080555R:A1510,0 15,  00000197, 1, 0, 1, 0
20100116080604R:A1510,0 15,  00000197, 9, 0, 1, 0
20100116080606R:U1500,0 15,  00001019, 0
20100116080606S:U1500,0 15,  00001019,00
20100116080615R:A1504,0 15,  00001019, 0, 0
20100116080615R:A1503,0 15,  00000197, 0, 0
20100116080616S:A1503,0015,  00000197,01,00
20100116080621R:U1500,0 15,  00000197, 0
20100116080621S:U1500,0 15,  00000197,00
20100116080654R:A1504,0 15,  00000197, 0, 0
20100116080706R:A1501,0 15,  00000195,0, 0
20100116080706R:A1510,0 15,  00000195, 1, 0, 0, 0
20100116080716R:A1510,0 15,  00000195, 9, 0, 0, 0
20100116080720R:A1503,0 15,  00000195, 0, 0
20100116080720S:A1503,0015,  00000195,01,00
20100116080723S:A1500,0015,  00001015,1, 0,00
20100116080729R:A1501,0 15,  00001029,0, 0
20100116080729R:A1510,0 15,  00001029, 1, 0, 1, 0
20100116080738R:A1510,0 15,  00001029, 9, 0, 1, 0
20100116080740R:U1500,0 15,  00000195, 0
20100116080740S:U1500,0 15,  00000195,00
20100116080749R:A1504,0 15,  00000195, 0, 0
20100116080749R:A1503,0 15,  00001029, 0, 0
20100116080750S:A1503,0015,  00001029,01,00
20100116080755R:U1500,0 15,  00001029, 0
20100116080755S:U1500,0 15,  00001029,00
20100116080829R:A1504,0 15,  00001029, 0, 0
20100116080841R:A1501,0 15,  00001015,0, 0
20100116080841R:A1510,0 15,  00001015, 1, 0, 0, 0
20100116080850R:A1510,0 15,  00001015, 9, 0, 0, 0
20100116080854R:A1503,0 15,  00001015, 0, 0
20100116080855S:A1503,0015,  00001015,01,00
20100116080900R:U1500,0 15,  00001015, 0
20100116080900S:U1500,0 15,  00001015,00
20100116080909R:A1504,0 15,  00001015, 0, 0
20100116080909R:I1503,0 15,0100, 0, 0, 0, 0
20100116082724S:A1500,0015,  00000011,1, 0,00
20100116082724R:I1503,0 15,0101, 0, 0, 0, 0
20100116082736S:A1500,0015,  00000138,1, 0,00
20100116082753R:A1501,0 15,  00000011,0, 0
20100116082753R:A1510,0 15,  00000011, 1, 0, 0, 0
20100116082754S:A1500,0015,  00001113,1, 0,00
20100116082802R:A1510,0 15,  00000011, 9, 0, 0, 0
20100116082807R:A1503,0 15,  00000011, 0, 0
20100116082807S:A1503,0015,  00000011,01,00
20100116082816R:A1501,0 15,  00000138,0, 0
20100116082816R:A1510,0 15,  00000138, 1, 0, 1, 0
20100116082816S:A1500,0015,  00001119,1, 0,00
20100116082825R:A1510,0 15,  00000138, 9, 0, 1, 0
20100116082827R:U1500,0 15,  00000011, 0
20100116082827S:U1500,0 15,  00000011,00
20100116082836R:A1504,0 15,  00000011, 0, 0
20100116082836R:A1503,0 15,  00000138, 0, 0
20100116082837S:A1503,0015,  00000138,01,00
20100116082838S:A1500,0015,  00000172,1, 0,00
20100116082843R:U1500,0 15,  00000138, 0
20100116082843S:U1500,0 15,  00000138,00
20100116082916R:A1504,0 15,  00000138, 0, 0
20100116082928R:A1501,0 15,  00001113,0, 0
20100116082928R:A1510,0 15,  00001113, 1, 0, 0, 0
20100116082937R:A1510,0 15,  00001113, 9, 0, 0, 0
20100116082941R:A1503,0 15,  00001113, 0, 0
20100116082942S:A1503,0015,  00001113,01,00
20100116082950R:A1501,0 15,  00001119,0, 0
20100116082950R:A1510,0 15,  00001119, 1, 0, 1, 0
20100116082950S:A1500,0015,  00000029,1, 0,00
20100116082959R:A1510,0 15,  00001119, 9, 0, 1, 0
20100116083001R:U1500,0 15,  00001113, 0
20100116083001S:U1500,0 15,  00001113,00
20100116083011R:A1504,0 15,  00001113, 0, 0
20100116083011R:A1503,0 15,  00001119, 0, 0
20100116083012S:A1503,0015,  00001119,01,00
20100116083012S:A1500,0015,  00001265,1, 0,00
20100116083023R:A1501,0 15,  00000172,0, 0
20100116083023R:A1510,0 15,  00000172, 1, 0, 1, 0
20100116083028R:U1500,0 15,  00001119, 0
20100116083028S:U1500,0 15,  00001119,00
20100116083032R:A1510,0 15,  00000172, 9, 0, 0, 0
20100116083050R:A1504,0 15,  00001119, 0, 0
20100116083050R:A1503,0 15,  00000172, 0, 0
20100116083051S:A1503,0015,  00000172,01,00
20100116083056R:U1500,0 15,  00000172, 0
20100116083056S:U1500,0 15,  00000172,00
20100116083130R:A1504,0 15,  00000172, 0, 0
