20100112073646S:A1500,0015,  00000011,1, 0,00
20100112073646R:I1503,0 15,0101, 0, 0, 0, 0
20100112073658S:A1500,0015,  00001005,1, 0,00
20100112073715S:A1500,0015,  00001017,1, 0,00
20100112073716R:A1501,0 15,  00000011,0, 0
20100112073716R:A1510,0 15,  00000011, 1, 0, 0, 0
20100112073725R:A1510,0 15,  00000011, 9, 0, 0, 0
20100112073729R:A1503,0 15,  00000011, 0, 0
20100112073729S:A1503,0015,  00000011,01,00
20100112073738R:A1501,0 15,  00001005,0, 0
20100112073738S:A1500,0015,  00001149,1, 0,00
20100112073738R:A1510,0 15,  00001005, 1, 0, 1, 0
20100112073747R:A1510,0 15,  00001005, 9, 0, 1, 0
20100112073749R:U1500,0 15,  00000011, 0
20100112073749S:U1500,0 15,  00000011,00
20100112073759R:A1504,0 15,  00000011, 0, 0
20100112073759R:A1503,0 15,  00001005, 0, 0
20100112073759S:A1503,0015,  00001005,01,00
20100112073800S:A1500,0015,  00000035,1, 0,00
20100112073805R:U1500,0 15,  00001005, 0
20100112073805S:U1500,0 15,  00001005,00
20100112073838R:A1504,0 15,  00001005, 0, 0
20100112073850R:A1501,0 15,  00001017,0, 0
20100112073850R:A1510,0 15,  00001017, 1, 0, 0, 0
20100112073859R:A1510,0 15,  00001017, 9, 0, 0, 0
20100112073904R:A1503,0 15,  00001017, 0, 0
20100112073904S:A1503,0015,  00001017,01,00
20100112073913R:A1501,0 15,  00001149,0, 0
20100112073913R:A1510,0 15,  00001149, 1, 0, 1, 0
20100112073920S:A1500,0015,  00001027,1, 0,00
20100112073922R:A1510,0 15,  00001149, 9, 0, 1, 0
20100112073924R:U1500,0 15,  00001017, 0
20100112073924S:U1500,0 15,  00001017,00
20100112073933R:A1504,0 15,  00001017, 0, 0
20100112073933R:A1503,0 15,  00001149, 0, 0
20100112073934S:A1503,0015,  00001149,01,00
20100112073939R:U1500,0 15,  00001149, 0
20100112073939S:U1500,0 15,  00001149,00
20100112074009S:A1500,0015,  00000162,1, 0,00
20100112074013R:A1504,0 15,  00001149, 0, 0
20100112074025R:A1501,0 15,  00000035,0, 0
20100112074025R:A1510,0 15,  00000035, 1, 0, 0, 0
20100112074034R:A1510,0 15,  00000035, 9, 0, 0, 0
20100112074038R:A1503,0 15,  00000035, 0, 0
20100112074040S:A1503,0015,  00000035,01,00
20100112074047R:A1501,0 15,  00001027,0, 0
20100112074047R:A1510,0 15,  00001027, 1, 0, 1, 0
20100112074056R:A1510,0 15,  00001027, 9, 0, 1, 0
20100112074058R:U1500,0 15,  00000035, 0
20100112074058S:U1500,0 15,  00000035,00
20100112074108R:A1504,0 15,  00000035, 0, 0
20100112074108R:A1503,0 15,  00001027, 0, 0
20100112074108S:A1503,0015,  00001027,01,00
20100112074114R:U1500,0 15,  00001027, 0
20100112074114S:U1500,0 15,  00001027,00
20100112074147R:A1504,0 15,  00001027, 0, 0
20100112074159R:A1501,0 15,  00000162,0, 0
20100112074159R:A1510,0 15,  00000162, 1, 0, 0, 0
20100112074208R:A1510,0 15,  00000162, 9, 0, 0, 0
20100112074213R:A1503,0 15,  00000162, 0, 0
20100112074213S:A1503,0015,  00000162,01,00
20100112074216S:A1500,0015,  00000164,1, 0,00
20100112074219R:U1500,0 15,  00000162, 0
20100112074219S:U1500,0 15,  00000162,00
20100112074222R:A1504,0 15,  00000162, 0, 0
20100112074227S:A1500,0015,  00001290,1, 0,00
20100112074244S:A1500,0015,  00000049,1, 0,00
20100112074245R:A1501,0 15,  00000164,0, 0
20100112074245R:A1510,0 15,  00000164, 1, 0, 0, 0
20100112074254R:A1510,0 15,  00000164, 9, 0, 0, 0
20100112074259R:A1503,0 15,  00000164, 0, 0
20100112074259S:A1503,0015,  00000164,01,00
20100112074307S:A1500,0015,  00001196,1, 0,00
20100112074308R:A1501,0 15,  00001290,0, 0
20100112074308R:A1510,0 15,  00001290, 1, 0, 1, 0
20100112074317R:A1510,0 15,  00001290, 9, 0, 1, 0
20100112074319R:U1500,0 15,  00000164, 0
20100112074319S:U1500,0 15,  00000164,00
20100112074328R:A1504,0 15,  00000164, 0, 0
20100112074328R:A1503,0 15,  00001290, 0, 0
20100112074329S:A1500,0015,  00001022,1, 0,00
20100112074330S:A1503,0015,  00001290,01,00
20100112074340R:A1501,0 15,  00000049,0, 0
