20100109085342S:A1500,0015,  00000063,1, 0,00
20100109085342R:I1503,0 15,0101, 0, 0, 0, 0
20100109085357S:A1500,0015,  00000135,1, 0,00
20100109085411R:A1501,0 15,  00000063,0, 0
20100109085411R:A1510,0 15,  00000063, 1, 0, 0, 0
20100109085414S:A1500,0015,  00001184,1, 0,00
20100109085420R:A1510,0 15,  00000063, 9, 0, 0, 0
20100109085424R:A1503,0 15,  00000063, 0, 0
20100109085425S:A1503,0015,  00000063,01,00
20100109085433R:A1501,0 15,  00000135,0, 0
20100109085434R:A1510,0 15,  00000135, 1, 0, 1, 0
20100109085434S:A1500,0015,  00001149,1, 0,00
20100109085443R:A1510,0 15,  00000135, 9, 0, 1, 0
20100109085445R:U1500,0 15,  00000063, 0
20100109085445S:U1500,0 15,  00000063,00
20100109085454R:A1504,0 15,  00000063, 0, 0
20100109085454R:A1503,0 15,  00000135, 0, 0
20100109085454S:A1503,0015,  00000135,01,00
20100109085500R:U1500,0 15,  00000135, 0
20100109085500S:U1500,0 15,  00000135,00
20100109085534R:A1504,0 15,  00000135, 0, 0
20100109085546R:A1501,0 15,  00001184,0, 0
20100109085546R:A1510,0 15,  00001184, 1, 0, 0, 0
20100109085555R:A1510,0 15,  00001184, 9, 0, 0, 0
20100109085559R:A1503,0 15,  00001184, 0, 0
20100109085600S:A1503,0015,  00001184,01,00
20100109085602S:A1500,0015,  00001298,1, 0,00
20100109085608R:A1501,0 15,  00001149,0, 0
20100109085608R:A1510,0 15,  00001149, 1, 0, 1, 0
20100109085617R:A1510,0 15,  00001149, 9, 0, 1, 0
20100109085619R:U1500,0 15,  00001184, 0
20100109085619S:U1500,0 15,  00001184,00
20100109085624S:A1500,0015,  00000067,1, 0,00
20100109085629R:A1504,0 15,  00001184, 0, 0
20100109085629R:A1503,0 15,  00001149, 0, 0
20100109085629S:A1503,0015,  00001149,01,00
20100109085635R:U1500,0 15,  00001149, 0
20100109085635S:U1500,0 15,  00001149,00
20100109085654S:A1500,0015,  00001112,1, 0,00
20100109085709R:A1504,0 15,  00001149, 0, 0
20100109085721R:A1501,0 15,  00001298,0, 0
20100109085721R:A1510,0 15,  00001298, 1, 0, 0, 0
20100109085730R:A1510,0 15,  00001298, 9, 0, 0, 0
20100109085734R:A1503,0 15,  00001298, 0, 0
20100109085735S:A1503,0015,  00001298,01,00
20100109085743R:A1501,0 15,  00000067,0, 0
20100109085743R:A1510,0 15,  00000067, 1, 0, 1, 0
20100109085744S:A1500,0015,  00001282,1, 0,00
20100109085752R:A1510,0 15,  00000067, 9, 0, 1, 0
20100109085754R:U1500,0 15,  00001298, 0
20100109085754S:U1500,0 15,  00001298,00
20100109085804R:A1504,0 15,  00001298, 0, 0
20100109085804R:A1503,0 15,  00000067, 0, 0
20100109085804S:A1503,0015,  00000067,01,00
20100109085810R:U1500,0 15,  00000067, 0
20100109085810S:U1500,0 15,  00000067,00
20100109085831S:A1500,0015,  00000041,1, 0,00
20100109085843R:A1504,0 15,  00000067, 0, 0
20100109085855R:A1501,0 15,  00001112,0, 0
20100109085855R:A1510,0 15,  00001112, 1, 0, 0, 0
20100109085904R:A1510,0 15,  00001112, 9, 0, 0, 0
20100109085909R:A1503,0 15,  00001112, 0, 0
20100109085909S:A1503,0015,  00001112,01,00
