20091201072225S:A1500,0015,  00001153,1, 0,00
20091201072225R:I1503,0 15,0101, 0, 0, 0, 0
20091201072314S:A1500,0015,  00000028,1, 0,00
20091201072331S:A1500,0015,  00001149,1, 0,00
20091201072332R:A1501,0 15,  00001153,0, 0
20091201072332R:A1510,0 15,  00001153, 1, 0, 0, 0
20091201072341R:A1510,0 15,  00001153, 9, 0, 0, 0
20091201072346R:A1503,0 15,  00001153, 0, 0
20091201072346S:A1503,0015,  00001153,01,00
20091201072354S:A1500,0015,  00001036,1, 0,00
20091201072355R:A1501,0 15,  00000028,0, 0
20091201072355R:A1510,0 15,  00000028, 1, 0, 1, 0
20091201072404R:A1510,0 15,  00000028, 9, 0, 1, 0
20091201072406R:U1500,0 15,  00001153, 0
20091201072406S:U1500,0 15,  00001153,00
20091201072415R:A1504,0 15,  00001153, 0, 0
20091201072415R:A1503,0 15,  00000028, 0, 0
20091201072417S:A1503,0015,  00000028,01,00
20091201072423S:A1500,0015,  00000173,1, 0,00
20091201072427R:A1501,0 15,  00001149,0, 0
20091201072427R:A1510,0 15,  00001149, 1, 0, 1, 0
20091201072433R:U1500,0 15,  00000028, 0
20091201072433S:U1500,0 15,  00000028,00
20091201072436R:A1510,0 15,  00001149, 9, 0, 0, 0
20091201072449S:A1500,0015,  00001200,1, 0,00
20091201072455R:A1504,0 15,  00000028, 0, 0
20091201072455R:A1503,0 15,  00001149, 0, 0
20091201072456S:A1503,0015,  00001149,01,00
20091201072501R:U1500,0 15,  00001149, 0
20091201072501S:U1500,0 15,  00001149,00
20091201072535R:A1504,0 15,  00001149, 0, 0
20091201072547R:A1501,0 15,  00001036,0, 0
20091201072547R:A1510,0 15,  00001036, 1, 0, 0, 0
20091201072556R:A1510,0 15,  00001036, 9, 0, 0, 0
20091201072600R:A1503,0 15,  00001036, 0, 0
20091201072601S:A1503,0015,  00001036,01,00
20091201072609R:A1501,0 15,  00000173,0, 0
20091201072609R:A1510,0 15,  00000173, 1, 0, 1, 0
20091201072616S:A1500,0015,  00000119,1, 0,00
20091201072618R:A1510,0 15,  00000173, 9, 0, 1, 0
20091201072620R:U1500,0 15,  00001036, 0
20091201072620S:U1500,0 15,  00001036,00
20091201072629R:A1504,0 15,  00001036, 0, 0
20091201072629R:A1503,0 15,  00000173, 0, 0
20091201072630S:A1503,0015,  00000173,01,00
20091201072636R:U1500,0 15,  00000173, 0
20091201072636S:U1500,0 15,  00000173,00
20091201072710R:A1504,0 15,  00000173, 0, 0
20091201072722R:A1501,0 15,  00001200,0, 0
20091201072722R:A1510,0 15,  00001200, 1, 0, 0, 0
20091201072731R:A1510,0 15,  00001200, 9, 0, 0, 0
