20100115073623S:A1500,0015,  00001271,1, 0,00
20100115073623R:I1503,0 15,0101, 0, 0, 0, 0
20100115073633S:A1500,0015,  00001035,1, 0,00
20100115073652R:A1501,0 15,  00001271,0, 0
20100115073652R:A1510,0 15,  00001271, 1, 0, 0, 0
20100115073659S:A1500,0015,  00001033,1, 0,00
20100115073701R:A1510,0 15,  00001271, 9, 0, 0, 0
20100115073705R:A1503,0 15,  00001271, 0, 0
20100115073706S:A1503,0015,  00001271,01,00
20100115073713S:A1500,0015,  00001258,1, 0,00
20100115073714R:A1501,0 15,  00001035,0, 0
20100115073714R:A1510,0 15,  00001035, 1, 0, 1, 0
20100115073723R:A1510,0 15,  00001035, 9, 0, 1, 0
20100115073725R:U1500,0 15,  00001271, 0
20100115073725S:U1500,0 15,  00001271,00
20100115073735R:A1504,0 15,  00001271, 0, 0
20100115073735R:A1503,0 15,  00001035, 0, 0
20100115073736S:A1503,0015,  00001035,01,00
20100115073744S:A1500,0015,  00001049,1, 0,00
20100115073747R:A1501,0 15,  00001033,0, 0
20100115073747R:A1510,0 15,  00001033, 1, 0, 1, 0
20100115073753R:U1500,0 15,  00001035, 0
20100115073753S:U1500,0 15,  00001035,00
20100115073756R:A1510,0 15,  00001033, 9, 0, 0, 0
20100115073808S:A1500,0015,  00001034,1, 0,00
20100115073814R:A1504,0 15,  00001035, 0, 0
20100115073814R:A1503,0 15,  00001033, 0, 0
20100115073815S:A1503,0015,  00001033,01,00
20100115073820R:U1500,0 15,  00001033, 0
20100115073821S:U1500,0 15,  00001033,00
20100115073854R:A1504,0 15,  00001033, 0, 0
20100115073906R:A1501,0 15,  00001258,0, 0
20100115073906R:A1510,0 15,  00001258, 1, 0, 0, 0
20100115073915R:A1510,0 15,  00001258, 9, 0, 0, 0
20100115073920R:A1503,0 15,  00001258, 0, 0
20100115073920S:A1503,0015,  00001258,01,00
20100115073927S:A1500,0015,  00000114,1, 0,00
20100115073928R:A1501,0 15,  00001049,0, 0
20100115073928R:A1510,0 15,  00001049, 1, 0, 1, 0
20100115073937R:A1510,0 15,  00001049, 9, 0, 1, 0
20100115073939R:U1500,0 15,  00001258, 0
20100115073939S:U1500,0 15,  00001258,00
20100115073949R:A1504,0 15,  00001258, 0, 0
20100115073949R:A1503,0 15,  00001049, 0, 0
20100115073949S:A1503,0015,  00001049,01,00
20100115073951S:A1500,0015,  00001266,1, 0,00
20100115073955R:U1500,0 15,  00001049, 0
20100115073955S:U1500,0 15,  00001049,00
20100115074028R:A1504,0 15,  00001049, 0, 0
20100115074040R:A1501,0 15,  00001034,0, 0
20100115074041R:A1510,0 15,  00001034, 1, 0, 0, 0
20100115074050R:A1510,0 15,  00001034, 9, 0, 0, 0
20100115074054R:A1503,0 15,  00001034, 0, 0
20100115074054S:A1503,0015,  00001034,01,00
20100115074102S:A1500,0015,  00001016,1, 0,00
20100115074103R:A1501,0 15,  00000114,0, 0
20100115074103R:A1510,0 15,  00000114, 1, 0, 1, 0
20100115074112R:A1510,0 15,  00000114, 9, 0, 1, 0
20100115074114R:U1500,0 15,  00001034, 0
20100115074114S:U1500,0 15,  00001034,00
20100115074123R:A1504,0 15,  00001034, 0, 0
20100115074124R:A1503,0 15,  00000114, 0, 0
20100115074124S:A1503,0015,  00000114,01,00
20100115074124S:A1500,0015,  00001042,1, 0,00
20100115074130R:U1500,0 15,  00000114, 0
20100115074130S:U1500,0 15,  00000114,00
20100115074203R:A1504,0 15,  00000114, 0, 0
20100115074215R:A1501,0 15,  00001266,0, 0
20100115074216R:A1510,0 15,  00001266, 1, 0, 0, 0
20100115074224R:A1510,0 15,  00001266, 9, 0, 0, 0
20100115074229R:A1503,0 15,  00001266, 0, 0
20100115074229S:A1503,0015,  00001266,01,00
