0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	00	0	00	27	0	0	0	27	0	0	0	0	00	0	0	0	0	0	0	27
																			27				27												27
																			1				1												1
																			1				1												1
																																			
																																			
																																			
																			2				2												2
																																			
																			8				8												8
																			7				7												7
																																			
																																			
																																			
