20100120072329S:A1500,0015,  00001029,1, 0,00
20100120072329R:I1503,0 15,0101, 0, 0, 0, 0
20100120072341S:A1500,0015,  00000010,1, 0,00
20100120072357R:A1501,0 15,  00001029,0, 0
20100120072358R:A1510,0 15,  00001029, 1, 0, 0, 0
20100120072401S:A1500,0015,  00000195,1, 0,00
20100120072406R:A1510,0 15,  00001029, 9, 0, 0, 0
20100120072411R:A1503,0 15,  00001029, 0, 0
20100120072411S:A1503,0015,  00001029,01,00
20100120072420R:A1501,0 15,  00000010,0, 0
20100120072420R:A1510,0 15,  00000010, 1, 0, 1, 0
20100120072421S:A1500,0015,  00001005,1, 0,00
20100120072429R:A1510,0 15,  00000010, 9, 0, 1, 0
20100120072431R:U1500,0 15,  00001029, 0
20100120072431S:U1500,0 15,  00001029,00
20100120072440R:A1504,0 15,  00001029, 0, 0
20100120072440R:A1503,0 15,  00000010, 0, 0
20100120072441S:A1503,0015,  00000010,01,00
20100120072447R:U1500,0 15,  00000010, 0
20100120072447S:U1500,0 15,  00000010,00
20100120072520R:A1504,0 15,  00000010, 0, 0
20100120072532R:A1501,0 15,  00000195,0, 0
20100120072532R:A1510,0 15,  00000195, 1, 0, 0, 0
20100120072541R:A1510,0 15,  00000195, 9, 0, 0, 0
20100120072546R:A1503,0 15,  00000195, 0, 0
20100120072546S:A1503,0015,  00000195,01,00
20100120072554R:A1501,0 15,  00001005,0, 0
20100120072554R:A1510,0 15,  00001005, 1, 0, 1, 0
20100120072603R:A1510,0 15,  00001005, 9, 0, 1, 0
20100120072605R:U1500,0 15,  00000195, 0
20100120072605S:U1500,0 15,  00000195,00
20100120072615R:A1504,0 15,  00000195, 0, 0
20100120072615R:A1503,0 15,  00001005, 0, 0
20100120072615S:A1503,0015,  00001005,01,00
20100120072621R:U1500,0 15,  00001005, 0
20100120072621S:U1500,0 15,  00001005,00
20100120072655R:A1504,0 15,  00001005, 0, 0
20100120072655R:I1503,0 15,0100, 0, 0, 0, 0
20100120074140S:A1500,0015,  00001026,1, 0,00
20100120074140R:I1503,0 15,0101, 0, 0, 0, 0
20100120074151S:A1500,0015,  00001189,1, 0,00
20100120074209S:A1500,0015,  00001288,1, 0,00
20100120074210R:A1501,0 15,  00001026,0, 0
20100120074210R:A1510,0 15,  00001026, 1, 0, 0, 0
20100120074219R:A1510,0 15,  00001026, 9, 0, 0, 0
20100120074224R:A1503,0 15,  00001026, 0, 0
20100120074224S:A1503,0015,  00001026,01,00
20100120074231S:A1500,0015,  00001158,1, 0,00
20100120074233R:A1501,0 15,  00001189,0, 0
20100120074233R:A1510,0 15,  00001189, 1, 0, 1, 0
20100120074242R:A1510,0 15,  00001189, 9, 0, 1, 0
20100120074244R:U1500,0 15,  00001026, 0
20100120074244S:U1500,0 15,  00001026,00
20100120074253R:A1504,0 15,  00001026, 0, 0
20100120074253R:A1503,0 15,  00001189, 0, 0
20100120074254S:A1500,0015,  00000155,1, 0,00
20100120074255S:A1503,0015,  00001189,01,00
20100120074305R:A1501,0 15,  00001288,0, 0
20100120074305R:A1510,0 15,  00001288, 1, 0, 1, 0
20100120074311R:U1500,0 15,  00001189, 0
20100120074311S:U1500,0 15,  00001189,00
20100120074314R:A1510,0 15,  00001288, 9, 0, 0, 0
20100120074328S:A1500,0015,  00000192,1, 0,00
20100120074333R:A1504,0 15,  00001189, 0, 0
20100120074333R:A1503,0 15,  00001288, 0, 0
20100120074334S:A1503,0015,  00001288,01,00
20100120074339R:U1500,0 15,  00001288, 0
20100120074339S:U1500,0 15,  00001288,00
20100120074413R:A1504,0 15,  00001288, 0, 0
20100120074425R:A1501,0 15,  00001158,0, 0
20100120074425R:A1510,0 15,  00001158, 1, 0, 0, 0
20100120074434R:A1510,0 15,  00001158, 9, 0, 0, 0
20100120074439R:A1503,0 15,  00001158, 0, 0
20100120074439S:A1503,0015,  00001158,01,00
20100120074446S:A1500,0015,  00000103,1, 0,00
20100120074447R:A1501,0 15,  00000155,0, 0
20100120074448R:A1510,0 15,  00000155, 1, 0, 1, 0
20100120074457R:A1510,0 15,  00000155, 9, 0, 1, 0
20100120074459R:U1500,0 15,  00001158, 0
20100120074459S:U1500,0 15,  00001158,00
20100120074508R:A1504,0 15,  00001158, 0, 0
20100120074508R:A1503,0 15,  00000155, 0, 0
20100120074509S:A1500,0015,  00000014,1, 0,00
20100120074509S:A1503,0015,  00000155,01,00
20100120074520R:A1501,0 15,  00000192,0, 0
20100120074520R:A1510,0 15,  00000192, 1, 0, 1, 0
20100120074526R:U1500,0 15,  00000155, 0
20100120074526S:U1500,0 15,  00000155,00
20100120074529R:A1510,0 15,  00000192, 9, 0, 0, 0
20100120074541S:A1500,0015,  00001134,1, 0,00
20100120074547R:A1504,0 15,  00000155, 0, 0
20100120074548R:A1503,0 15,  00000192, 0, 0
20100120074548S:A1503,0015,  00000192,01,00
20100120074554R:U1500,0 15,  00000192, 0
20100120074554S:U1500,0 15,  00000192,00
20100120074627R:A1504,0 15,  00000192, 0, 0
20100120074640R:A1501,0 15,  00000103,0, 0
20100120074640R:A1510,0 15,  00000103, 1, 0, 0, 0
20100120074649R:A1510,0 15,  00000103, 9, 0, 0, 0
20100120074653R:A1503,0 15,  00000103, 0, 0
20100120074653S:A1503,0015,  00000103,01,00
20100120074702R:A1501,0 15,  00000014,0, 0
20100120074702R:A1510,0 15,  00000014, 1, 0, 1, 0
20100120074711R:A1510,0 15,  00000014, 9, 0, 1, 0
20100120074713R:U1500,0 15,  00000103, 0
20100120074713S:U1500,0 15,  00000103,00
20100120074722R:A1504,0 15,  00000103, 0, 0
20100120074722R:A1503,0 15,  00000014, 0, 0
20100120074723S:A1503,0015,  00000014,01,00
20100120074729R:U1500,0 15,  00000014, 0
20100120074729S:U1500,0 15,  00000014,00
20100120074758S:A1500,0015,  00001196,1, 0,00
20100120074802R:A1504,0 15,  00000014, 0, 0
20100120074814R:A1501,0 15,  00001134,0, 0
20100120074814R:A1510,0 15,  00001134, 1, 0, 0, 0
20100120074823R:A1510,0 15,  00001134, 9, 0, 0, 0
20100120074827R:A1503,0 15,  00001134, 0, 0
20100120074828S:A1503,0015,  00001134,01,00
20100120074836S:A1500,0015,  00001041,1, 0,00
20100120074836R:A1501,0 15,  00001196,0, 0
20100120074836R:A1510,0 15,  00001196, 1, 0, 1, 0
20100120074845R:A1510,0 15,  00001196, 9, 0, 1, 0
20100120074847R:U1500,0 15,  00001134, 0
20100120074847S:U1500,0 15,  00001134,00
20100120074857R:A1504,0 15,  00001134, 0, 0
20100120074857R:A1503,0 15,  00001196, 0, 0
20100120074857S:A1503,0015,  00001196,01,00
20100120074903R:U1500,0 15,  00001196, 0
20100120074903S:U1500,0 15,  00001196,00
20100120074936R:A1504,0 15,  00001196, 0, 0
20100120074948R:A1501,0 15,  00001041,0, 0
20100120074948R:A1510,0 15,  00001041, 1, 0, 0, 0
20100120074956S:A1500,0015,  00000052,1, 0,00
20100120074957R:A1510,0 15,  00001041, 9, 0, 0, 0
20100120075002R:A1503,0 15,  00001041, 0, 0
20100120075002S:A1503,0015,  00001041,01,00
20100120075008R:U1500,0 15,  00001041, 0
20100120075008S:U1500,0 15,  00001041,00
20100120075009S:A1500,0015,  00000151,1, 0,00
20100120075016R:A1504,0 15,  00001041, 0, 0
20100120075026S:A1500,0015,  00001262,1, 0,00
20100120075039S:A1500,0015,  00000146,1, 0,00
20100120075055S:A1500,0015,  00000023,1, 0,00
20100120080019S:A1500,0015,  00001162,1, 0,00
20100120080209R:A1501,0 15,  00000151,0, 0
20100120080209R:A1510,0 15,  00000151, 1, 0, 0, 0
20100120080218R:A1510,0 15,  00000151, 9, 0, 0, 0
20100120080223R:A1503,0 15,  00000151, 0, 0
20100120080223S:A1503,0015,  00000151,01,00
20100120080231R:A1501,0 15,  00000146,0, 0
20100120080231R:A1510,0 15,  00000146, 1, 0, 1, 0
20100120080240R:A1510,0 15,  00000146, 9, 0, 1, 0
20100120080242R:U1500,0 15,  00000151, 0
20100120080242S:U1500,0 15,  00000151,00
20100120080251R:A1504,0 15,  00000151, 0, 0
20100120080251R:A1503,0 15,  00000146, 0, 0
20100120080252S:A1503,0015,  00000146,01,00
20100120080258R:U1500,0 15,  00000146, 0
20100120080258S:U1500,0 15,  00000146,00
20100120080331R:A1504,0 15,  00000146, 0, 0
20100120080341R:A1501,0 15,  00000052,0, 0
20100120080341R:A1510,0 15,  00000052, 1, 0, 0, 0
20100120080350R:A1510,0 15,  00000052, 9, 0, 0, 0
20100120080354R:A1503,0 15,  00000052, 0, 0
20100120080355S:A1503,0015,  00000052,01,00
20100120080357R:A1501,0 15,  00001262,0, 0
20100120080357R:A1510,0 15,  00001262, 1, 0, 1, 0
20100120080406R:A1510,0 15,  00001262, 9, 0, 1, 0
20100120080408R:U1500,0 15,  00000052, 0
20100120080408S:U1500,0 15,  00000052,00
20100120080418R:A1504,0 15,  00000052, 0, 0
20100120080418R:A1503,0 15,  00001262, 0, 0
20100120080418S:A1503,0015,  00001262,01,00
20100120080424R:U1500,0 15,  00001262, 0
20100120080424S:U1500,0 15,  00001262,00
